,model,data,series,metrics,values
458,model_LinearSVC,test,SMOTE,tn,97.0
459,model_LinearSVC,train,SMOTE,tn,686.0
460,model_LinearSVC,val,SMOTE,tn,169.0
461,model_LinearSVC,test,SMOTE,tn,100.0
462,model_SVC,train,imbalanced,tn,672.0
463,model_SVC,val,imbalanced,tn,176.0
464,model_SVC,test,imbalanced,tn,96.0
465,model_SVC,train,imbalanced,tn,690.0
466,model_SVC,val,imbalanced,tn,174.0
467,model_SVC,test,imbalanced,tn,96.0
468,model_SVC,train,imbalanced,tn,659.0
469,model_SVC,val,imbalanced,tn,173.0
470,model_SVC,test,imbalanced,tn,95.0
471,model_SVC,train,imbalanced,tn,678.0
472,model_SVC,val,imbalanced,tn,169.0
473,model_SVC,test,imbalanced,tn,95.0
474,model_SVC,train,imbalanced,tn,683.0
475,model_SVC,val,imbalanced,tn,166.0
476,model_SVC,test,imbalanced,tn,97.0
477,model_SVC,train,SMOTE,tn,888.0
478,model_SVC,val,SMOTE,tn,221.0
479,model_SVC,test,SMOTE,tn,122.0
480,model_SVC,train,SMOTE,tn,888.0
481,model_SVC,val,SMOTE,tn,220.0
482,model_SVC,test,SMOTE,tn,123.0
483,model_SVC,train,SMOTE,tn,888.0
484,model_SVC,val,SMOTE,tn,222.0
485,model_SVC,test,SMOTE,tn,123.0
486,model_SVC,train,SMOTE,tn,888.0
487,model_SVC,val,SMOTE,tn,221.0
488,model_SVC,test,SMOTE,tn,122.0
489,model_SVC,train,SMOTE,tn,888.0
490,model_SVC,val,SMOTE,tn,221.0
491,model_SVC,test,SMOTE,tn,122.0
492,model_RandomForest,train,imbalanced,tn,857.0
493,model_RandomForest,val,imbalanced,tn,209.0
494,model_RandomForest,test,imbalanced,tn,114.0
495,model_RandomForest,train,imbalanced,tn,860.0
496,model_RandomForest,val,imbalanced,tn,211.0
497,model_RandomForest,test,imbalanced,tn,113.0
498,model_RandomForest,train,imbalanced,tn,865.0
499,model_RandomForest,val,imbalanced,tn,207.0
500,model_RandomForest,test,imbalanced,tn,116.0
501,model_RandomForest,train,imbalanced,tn,860.0
502,model_RandomForest,val,imbalanced,tn,209.0
503,model_RandomForest,test,imbalanced,tn,112.0
504,model_RandomForest,train,imbalanced,tn,865.0
505,model_RandomForest,val,imbalanced,tn,204.0
506,model_RandomForest,test,imbalanced,tn,113.0
507,model_RandomForest,train,SMOTE,tn,887.0
508,model_RandomForest,val,SMOTE,tn,216.0
509,model_RandomForest,test,SMOTE,tn,121.0
510,model_RandomForest,train,SMOTE,tn,888.0
511,model_RandomForest,val,SMOTE,tn,216.0
512,model_RandomForest,test,SMOTE,tn,122.0
513,model_RandomForest,train,SMOTE,tn,888.0
514,model_RandomForest,val,SMOTE,tn,220.0
515,model_RandomForest,test,SMOTE,tn,122.0
516,model_RandomForest,train,SMOTE,tn,886.0
517,model_RandomForest,val,SMOTE,tn,218.0
518,model_RandomForest,test,SMOTE,tn,121.0
519,model_RandomForest,train,SMOTE,tn,888.0
520,model_RandomForest,val,SMOTE,tn,219.0
521,model_RandomForest,test,SMOTE,tn,119.0
522,NN_weighted,train,imbalanced,tn,1.0
523,NN_weighted,val,imbalanced,tn,187.0
524,NN_weighted,test,imbalanced,tn,106.0
525,NN_weighted,train,imbalanced,tn,0.0
526,NN_weighted,val,imbalanced,tn,184.0
527,NN_weighted,test,imbalanced,tn,108.0
528,NN_weighted,train,imbalanced,tn,0.0
529,NN_weighted,val,imbalanced,tn,193.0
530,NN_weighted,test,imbalanced,tn,103.0
531,NN_weighted,train,imbalanced,tn,0.0
532,NN_weighted,val,imbalanced,tn,202.0
533,NN_weighted,test,imbalanced,tn,112.0
534,NN_weighted,train,imbalanced,tn,0.0
535,NN_weighted,val,imbalanced,tn,192.0
536,NN_weighted,test,imbalanced,tn,108.0
537,NN_weighted,train,imbalanced,tn,0.0
538,NN_weighted,val,imbalanced,tn,194.0
539,NN_weighted,test,imbalanced,tn,108.0
540,NN_weighted,train,SMOTE,tn,751.0
541,NN_weighted,val,SMOTE,tn,189.0
542,NN_weighted,test,SMOTE,tn,104.0
543,NN_weighted,train,SMOTE,tn,738.0
544,NN_weighted,val,SMOTE,tn,184.0
545,NN_weighted,test,SMOTE,tn,108.0
546,NN_weighted,train,SMOTE,tn,737.0
547,NN_weighted,val,SMOTE,tn,183.0
548,NN_weighted,test,SMOTE,tn,106.0
549,NN_weighted,train,SMOTE,tn,850.0
550,NN_weighted,val,SMOTE,tn,207.0
551,NN_weighted,test,SMOTE,tn,117.0
552,NN_weighted,train,SMOTE,tn,756.0
553,NN_weighted,val,SMOTE,tn,188.0
554,NN_weighted,test,SMOTE,tn,106.0
555,model_XGB,train,imbalanced,fn,0.0
556,model_XGB,val,imbalanced,fn,28.0
557,model_XGB,test,imbalanced,fn,19.0
558,model_XGB,train,imbalanced,fn,0.0
559,model_XGB,val,imbalanced,fn,29.0
560,model_XGB,test,imbalanced,fn,19.0
561,model_XGB,train,imbalanced,fn,0.0
562,model_XGB,val,imbalanced,fn,30.0
563,model_XGB,test,imbalanced,fn,19.0
564,model_XGB,train,imbalanced,fn,0.0
565,model_XGB,val,imbalanced,fn,32.0
566,model_XGB,test,imbalanced,fn,20.0
567,model_XGB,train,imbalanced,fn,0.0
568,model_XGB,val,imbalanced,fn,29.0
569,model_XGB,test,imbalanced,fn,19.0
570,model_XGB,train,SMOTE,fn,22.0
571,model_XGB,val,SMOTE,fn,42.0
572,model_XGB,test,SMOTE,fn,18.0
573,model_XGB,train,SMOTE,fn,22.0
574,model_XGB,val,SMOTE,fn,43.0
575,model_XGB,test,SMOTE,fn,17.0
576,model_XGB,train,SMOTE,fn,27.0
577,model_XGB,val,SMOTE,fn,43.0
578,model_XGB,test,SMOTE,fn,21.0
579,model_XGB,train,SMOTE,fn,21.0
580,model_XGB,val,SMOTE,fn,41.0
